Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
XA472L_Macrogen_1	70.50312272451414	47.0	151.0	151	18.181818181818183	18637074.0
XA472L_Macrogen_2	69.89161809742232	47.0	151.0	151	18.181818181818183	18637074.0
XA472_L_1	81.21599932589145	42.0	150.0	150	27.27272727272727	18774626.0
XA472_L_2	83.33399205227799	42.0	150.0	150	27.27272727272727	18774626.0
XA472_R_1	63.32945727869711	44.0	150.0	150	18.181818181818183	19947284.0
XA472_R_2	62.897852255275815	44.0	150.0	150	18.181818181818183	19947284.0
XA472_S_1	61.39746637118796	43.0	150.0	150	18.181818181818183	20758435.0
XA472_S_2	60.32367924685947	43.0	150.0	150	18.181818181818183	20758435.0
XA691_F_MKRN250017679-1A_22VTVNLT4_L4_1	82.43107026579193	46.0	150.0	150	9.090909090909092	91723694.0
XA691_F_MKRN250017679-1A_22VTVNLT4_L4_2	81.55489938762638	46.0	150.0	150	9.090909090909092	91723694.0
