Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
XE263OL_Macrogen_1	66.65221563682162	47.0	151.0	151	27.27272727272727	21354005.0
XE263OL_Macrogen_2	64.38217191977259	47.0	151.0	151	36.36363636363637	21354005.0
XE263_OL_1	61.507980390425764	45.0	150.0	150	18.181818181818183	18591381.0
XE263_OL_2	60.359684205038775	45.0	150.0	150	18.181818181818183	18591381.0
XE263_R_1	59.577142999858474	45.0	150.0	150	18.181818181818183	17278074.0
XE263_R_2	58.90647669620923	44.0	150.0	150	18.181818181818183	17278074.0
XE263_S_1	60.90760508071621	44.0	150.0	150	18.181818181818183	18099930.0
XE263_S_2	60.138382972889374	44.0	150.0	150	18.181818181818183	18099930.0
XE263_YL_1	63.8328431716194	45.0	150.0	150	18.181818181818183	17560682.0
XE263_YL_2	62.86264867703176	45.0	150.0	150	18.181818181818183	17560682.0
XE774_F_MKRN250017682-1A_22VTVNLT4_L4_1	72.83575213201689	46.0	150.0	150	9.090909090909092	42246086.0
XE774_F_MKRN250017682-1A_22VTVNLT4_L4_2	71.88247806472947	46.0	150.0	150	9.090909090909092	42246086.0
