Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR24947461_1	SRR24947461_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100420524.0	14.4 Gbp	0.0	50-151	46.0	2.1247959325637558	143.70888584488964	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR24947461_2	SRR24947461_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100420524.0	14.4 Gbp	0.0	50-151	47.0	2.9731797861446885	143.64476284748324	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR24947462_1	SRR24947462_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124450757.0	18 Gbp	0.0	50-151	46.0	3.077865495446545	145.34581197445027	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR24947462_2	SRR24947462_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124450757.0	18 Gbp	0.0	50-151	48.0	4.039638564526249	145.3195070962887	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR24947463_1	SRR24947463_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122138223.0	17.6 Gbp	0.0	50-151	46.0	3.701863388294869	144.8315911391637	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR24947463_2	SRR24947463_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122138223.0	17.6 Gbp	0.0	50-151	47.0	4.397177688745811	144.73828405870944	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR24947464_1	SRR24947464_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114498350.0	16.6 Gbp	0.0	50-151	46.0	4.381076156962186	145.25253360419603	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR24947464_2	SRR24947464_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114498350.0	16.6 Gbp	0.0	50-151	46.0	5.390826340558139	145.1801634870721	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR24947465_1	SRR24947465_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105798037.0	15.3 Gbp	0.0	50-151	46.0	3.455859745505504	144.7418841996095	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR24947465_2	SRR24947465_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105798037.0	15.3 Gbp	0.0	50-151	46.0	4.3976164439061725	144.70026358806638	151	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
