Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR24947461_1_val_1	97.87515746546298	46.0	143.14784148138648	151	18.181818181818183	100408423.0
SRR24947461_2_val_2	97.02694003868507	47.0	143.16670501836285	151	18.181818181818183	100408423.0
SRR24947462_1_val_1	96.92141135347293	46.0	144.7267010164105	151	18.181818181818183	124437027.0
SRR24947462_2_val_2	95.95936833343421	48.0	144.87220593111726	151	27.27272727272727	124437027.0
SRR24947463_1_val_1	96.29820673377533	46.0	144.20920962941273	151	18.181818181818183	122124914.0
SRR24947463_2_val_2	95.6026652353137	47.0	144.265864244539	151	18.181818181818183	122124914.0
SRR24947464_1_val_1	95.61865142310694	46.0	144.6511049919497	151	18.181818181818183	114482644.0
SRR24947464_2_val_2	94.60883887204345	46.0	144.68213344199143	151	18.181818181818183	114482644.0
SRR24947465_1_val_1	96.54414186576659	46.0	144.1125265896346	151	18.181818181818183	105785113.0
SRR24947465_2_val_2	95.60272318632765	46.0	144.21567423196873	151	18.181818181818183	105785113.0
SRR24947466_1_val_1	97.633702789633	48.0	144.52680672625982	151	18.181818181818183	122000164.0
SRR24947466_2_val_2	96.96347976022633	48.0	144.54675246174259	151	18.181818181818183	122000164.0
XN580_FB_1_val_1	57.198934748242806	46.0	148.59657485558165	150	18.181818181818183	20182857.0
XN580_FB_2_val_2	56.3448773855239	46.0	148.6224793645419	150	18.181818181818183	20182857.0
XN580_F_1_val_1	54.04193590835569	46.0	148.6071452252186	150	18.181818181818183	17012004.0
XN580_F_2_val_2	53.426863731611256	46.0	148.63090615309048	150	18.181818181818183	17012004.0
XN580_L_1_val_1	65.1550516258188	47.0	148.6321504361012	150	18.181818181818183	18087201.0
XN580_L_2_val_2	64.07759515088986	47.0	148.65936000821796	150	18.181818181818183	18087201.0
XN580_R_1_val_1	59.73995053033397	46.0	148.57572805245178	150	18.181818181818183	18344008.0
XN580_R_2_val_2	58.93197603877851	46.0	148.67568527008928	150	18.181818181818183	18344008.0
XN580_S_1_val_1	58.82200346432364	46.0	148.56394282278103	150	18.181818181818183	16598149.0
XN580_S_2_val_2	58.24850964592257	46.0	148.63894582462177	150	18.181818181818183	16598149.0
