Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
XO467R_Macrogen_1	62.848561545504396	46.0	151.0	151	18.181818181818183	16641544.0
XO467R_Macrogen_2	61.355671951862575	46.0	151.0	151	18.181818181818183	16641544.0
XO467_OL_1	61.2504669586664	44.0	150.0	150	18.181818181818183	21610522.0
XO467_OL_2	60.73224214353028	44.0	150.0	150	18.181818181818183	21610522.0
XO467_R_1	60.33273990150783	44.0	150.0	150	18.181818181818183	18760402.0
XO467_R_2	59.27825635401424	44.0	150.0	150	18.181818181818183	18760402.0
XO467_S_1	61.17060940381804	44.0	150.0	150	18.181818181818183	19414723.0
XO467_S_2	60.44711087680303	44.0	150.0	150	18.181818181818183	19414723.0
XO467_YL_1	60.05314988596843	45.0	150.0	150	18.181818181818183	19010625.0
XO467_YL_2	59.512971242281324	45.0	150.0	150	18.181818181818183	19010625.0
XO772_F_MKRN250017683-1A_22VTVNLT4_L4_1	72.50034631226505	46.0	150.0	150	18.181818181818183	35701983.0
XO772_F_MKRN250017683-1A_22VTVNLT4_L4_2	71.8565550311448	46.0	150.0	150	18.181818181818183	35701983.0
