Gene	Assembled_transcripts	A.lyrata.pep	A.thaliana.pep	B.rapa.pep
Om001G000020	1	1	1	1
Om001G000030	1	1	1	1
Om001G000040	0	1	1	1
Om001G000050	1	1	1	1
Om001G000060	1	1	1	1
Om001G000070	1	1	1	1
Om001G000080	1	1	1	1
Om001G000090	1	1	1	1
Om001G000100	1	1	0	1
Om001G000110	1	1	1	1
Om001G000120	1	1	1	1
Om001G000130	1	1	1	1
Om001G000140	1	1	1	1
Om001G000150	1	1	1	1
Om001G000160	1	1	1	1
Om001G000170	1	1	1	1
Om001G000180	1	1	1	1
Om001G000190	1	1	1	1
Om001G000200	1	1	1	0
Om001G000210	1	1	1	1
Om001G000220	0	1	1	1
Om001G000230	1	0	0	0
Om001G000240	1	0	0	0
Om001G000250	1	0	0	0
Om001G000260	0	0	0	0
Om001G000270	1	1	1	1
Om001G000280	1	0	0	0
Om001G000290	1	1	1	1
Om001G000300	1	1	1	0
Om001G000310	1	1	1	1
Om001G000320	1	0	0	1
Om001G000330	1	1	1	1
Om001G000360	0	0	1	0
Om001G000370	1	1	1	1
Om001G000380	1	1	1	1
Om001G000390	1	1	1	1
Om001G000400	1	1	1	1
Om001G000410	1	1	1	1
Om001G000420	1	1	1	1
Om001G000430	0	0	0	1
Om001G000440	1	1	1	1
Om001G000450	1	0	0	0
Om001G000470	0	0	0	0
Om001G000490	1	0	0	0
Om001G000500	0	0	0	0
Om001G000520	1	0	0	0
Om001G000530	1	0	0	0
Om001G000540	1	1	1	1
Om001G000550	1	0	0	1
Om001G000560	1	1	1	1
Om001G000570	0	0	0	0
Om001G000580	1	1	1	1
Om001G000590	1	1	1	1
Om001G000600	1	1	1	1
Om001G000610	1	1	1	1
Om001G000620	1	1	1	1
Om001G000630	0	1	1	1
Om001G000640	1	1	0	1
Om001G000650	1	1	1	1
Om001G000660	1	1	1	1
Om001G000670	0	1	1	1
Om001G000680	1	0	0	0
Om001G000690	1	1	0	1
Om001G000700	1	1	1	1
Om001G000710	0	1	1	1
Om001G000720	0	1	1	1
Om001G000750	0	0	0	0
Om001G000770	0	0	0	0
Om001G000780	1	1	0	1
Om001G000800	1	0	0	0
Om001G000810	1	1	1	1
Om001G000820	1	0	0	0
Om001G000830	0	0	0	0
Om001G000850	0	0	0	0
Om001G000870	1	0	0	0
Om001G000880	1	0	0	0
Om001G000890	0	1	1	1
Om001G000910	1	1	1	1
Om001G000920	0	0	0	0
Om001G000930	1	1	1	1
Om001G000940	1	1	1	1
Om001G000950	1	1	1	1
Om001G000960	1	1	1	1
Om001G000970	0	1	1	0
Om001G000980	1	1	1	1
Om001G001010	1	1	1	0
Om001G001020	1	1	1	1
