Gene	Assembled_transcripts	A.lyrata.pep	A.thaliana.pep	B.rapa.pep
Cg001G000010	1	1	1	1
Cg001G000020	1	1	1	1
Cg001G000030	0	1	1	0
Cg001G000040	1	1	1	1
Cg001G000050	1	1	1	0
Cg001G000060	1	1	1	1
Cg001G000070	1	1	1	1
Cg001G000080	1	1	1	1
Cg001G000090	1	1	1	1
Cg001G000100	1	1	1	1
Cg001G000110	1	1	1	0
Cg001G000120	1	1	1	1
Cg001G000130	1	1	1	0
Cg001G000140	1	1	1	0
Cg001G000150	1	1	1	0
Cg001G000160	1	1	1	1
Cg001G000170	1	1	1	1
Cg001G000180	1	1	1	1
Cg001G000190	1	0	0	0
Cg001G000200	0	1	1	1
Cg001G000210	1	1	1	1
Cg001G000220	1	1	1	1
Cg001G000230	1	1	1	1
Cg001G000240	1	1	1	1
Cg001G000250	1	1	1	1
Cg001G000260	0	1	1	1
Cg001G000270	1	1	1	1
Cg001G000280	1	1	1	1
Cg001G000290	1	1	1	1
Cg001G000310	1	1	1	1
Cg001G000320	1	1	1	1
Cg001G000330	1	1	1	1
Cg001G000340	1	1	1	0
Cg001G000350	1	1	1	1
Cg001G000360	1	1	1	1
Cg001G000380	1	1	1	1
Cg001G000390	1	1	1	1
Cg001G000400	0	1	1	1
Cg001G000410	1	0	0	0
Cg001G000420	1	1	1	0
Cg001G000430	0	1	1	0
Cg001G000450	1	1	1	0
Cg001G000460	1	1	1	0
Cg001G000470	1	1	1	1
Cg001G000480	1	1	1	1
Cg001G000490	1	1	1	1
Cg001G000500	1	1	1	1
Cg001G000510	1	1	1	1
Cg001G000520	1	1	1	1
Cg001G000530	1	1	1	0
Cg001G000540	1	1	1	1
Cg001G000560	1	1	1	1
Cg001G000570	0	1	1	1
Cg001G000580	1	1	1	1
Cg001G000590	1	1	1	1
Cg001G000600	1	1	1	1
Cg001G000610	1	1	1	1
Cg001G000620	0	1	1	1
Cg001G000630	1	1	1	1
Cg001G000640	1	1	1	1
Cg001G000650	1	1	1	1
Cg001G000660	1	1	1	1
Cg001G000670	1	1	1	1
Cg001G000680	1	1	1	0
Cg001G000690	1	1	1	0
Cg001G000700	1	1	1	1
Cg001G000710	1	1	1	1
Cg001G000720	0	1	1	1
Cg001G000730	1	1	1	1
Cg001G000740	1	1	1	1
Cg001G000750	0	1	1	1
Cg001G000760	1	1	1	1
Cg001G000770	1	1	1	1
Cg001G000780	1	1	1	1
Cg001G000790	1	1	1	1
Cg001G000800	0	0	1	1
Cg001G000810	1	1	1	1
Cg001G000820	1	1	1	1
Cg001G000830	1	0	0	0
Cg001G000840	0	1	0	1
Cg001G000850	1	1	1	1
Cg001G000860	1	1	1	1
Cg001G000870	1	1	1	1
Cg001G000880	1	1	1	1
Cg001G000900	1	1	1	1
Cg001G000910	1	1	1	0
Cg001G000920	1	0	0	1
Cg001G000930	1	1	1	1
Cg001G000940	1	1	1	0
Cg001G000950	0	1	1	1
Cg001G000960	1	1	1	1
Cg001G000970	1	0	1	1
Cg001G000980	1	1	1	1
Cg001G000990	1	1	1	1
Cg001G001000	1	1	1	1
Cg001G001010	0	1	1	1
Cg001G001030	1	0	0	1
Cg001G001050	1	1	1	1
Cg001G001060	1	1	1	1
Cg001G001070	1	1	1	1
Cg001G001080	1	1	1	1
Cg001G001090	1	1	1	0
Cg001G001100	1	1	1	0
Cg001G001110	1	1	1	1
Cg001G001120	0	0	0	1
Cg001G001130	1	1	1	1
Cg001G001140	1	1	1	0
Cg001G001150	1	0	0	0
Cg001G001160	1	1	1	1
Cg001G001170	1	1	1	1
Cg001G001180	0	1	1	1
Cg001G001200	1	1	1	1
Cg001G001210	0	1	1	1
Cg001G001220	0	1	0	1
Cg001G001230	1	1	1	1
Cg001G001270	1	1	1	1
Cg001G001280	1	1	1	1
Cg001G001300	1	1	1	1
Cg001G001310	1	1	1	1
Cg001G001320	1	1	1	1
Cg001G001340	1	1	1	1
Cg001G001370	1	1	1	1
Cg001G001380	0	1	1	1
Cg001G001390	1	1	1	0
Cg001G001410	1	1	1	1
Cg001G001420	1	1	1	1
Cg001G001430	1	0	0	0
Cg001G001440	1	1	1	1
Cg001G001450	0	1	0	0
Cg001G001460	1	1	1	0
Cg001G001470	1	1	1	1
Cg001G001480	0	0	0	0
Cg001G001490	1	1	1	1
Cg001G001500	1	1	1	1
Cg001G001510	1	1	1	1
Cg001G001520	1	1	1	1
Cg001G001530	1	1	1	0
Cg001G001540	1	1	1	1
Cg001G001550	1	1	1	1
Cg001G001560	1	1	1	1
Cg001G001570	1	1	1	1
Cg001G001580	1	1	1	1
Cg001G001590	1	1	1	1
Cg001G001600	1	1	1	1
Cg001G001620	1	1	1	1
Cg001G001630	1	1	1	1
Cg001G001640	1	1	1	1
Cg001G001650	1	1	1	1
Cg001G001660	1	1	1	1
Cg001G001670	1	1	1	1
Cg001G001680	1	1	1	1
Cg001G001690	1	1	1	1
Cg001G001700	1	1	1	1
Cg001G001710	1	1	1	1
Cg001G001720	1	0	0	0
Cg001G001730	1	1	1	1
Cg001G001740	1	1	1	1
Cg001G001750	1	1	1	1
Cg001G001760	1	1	1	1
Cg001G001770	0	1	1	1
Cg001G001780	1	0	0	0
Cg001G001790	1	1	1	1
Cg001G001800	1	1	1	0
Cg001G001810	1	1	1	1
Cg001G001820	1	1	1	1
Cg001G001830	0	1	1	1
Cg001G001840	1	1	1	1
Cg001G001850	0	0	0	0
Cg001G001860	1	1	1	1
Cg001G001870	1	1	1	1
Cg001G001880	1	1	1	1
Cg001G001890	1	1	1	1
Cg001G001900	1	0	1	0
Cg001G001910	1	1	1	0
Cg001G001920	1	0	0	0
Cg001G001930	1	1	1	0
Cg001G001950	1	1	1	1
Cg001G001960	1	1	1	1
Cg001G001970	1	1	1	1
Cg001G001980	0	1	1	0
Cg001G001990	1	1	0	0
Cg001G002000	0	1	1	0
Cg001G002010	1	1	1	1
Cg001G002020	1	1	1	1
Cg001G002030	1	1	1	0
Cg001G002040	0	0	0	1
Cg001G002050	1	1	1	1
Cg001G002060	1	1	1	1
Cg001G002070	1	1	1	1
Cg001G002080	1	1	1	1
Cg001G002090	0	1	1	1
Cg001G002100	1	1	1	1
Cg001G002110	1	1	1	1
Cg001G002120	1	1	1	1
Cg001G002130	1	1	1	1
Cg001G002140	1	1	1	1
Cg001G002160	0	1	1	0
Cg001G002170	0	1	1	0
Cg001G002180	1	1	1	1
Cg001G002190	1	1	1	1
Cg001G002200	1	1	1	1
Cg001G002210	1	1	1	0
Cg001G002220	1	1	1	1
Cg001G002230	1	1	1	1
Cg001G002240	1	1	1	1
Cg001G002250	0	1	0	0
Cg001G002260	1	0	0	1
Cg001G002270	1	1	1	1
Cg001G002280	1	1	1	1
Cg001G002290	0	1	1	1
Cg001G002300	1	0	1	1
Cg001G002330	1	1	1	1
Cg001G002340	1	0	0	0
Cg001G002350	1	0	0	0
Cg001G002360	1	1	1	1
Cg001G002370	1	1	1	1
Cg001G002380	1	1	1	1
Cg001G002390	1	1	1	1
Cg001G002410	1	1	1	1
Cg001G002420	1	1	1	1
Cg001G002430	1	1	1	1
Cg001G002440	1	1	1	1
Cg001G002450	1	1	1	1
Cg001G002460	1	1	1	1
Cg001G002470	1	0	0	1
Cg001G002480	1	1	1	1
Cg001G002490	1	1	1	1
Cg001G002500	0	1	1	1
Cg001G002510	1	1	1	1
Cg001G002520	1	1	1	0
Cg001G002530	1	1	1	1
Cg001G002540	1	1	1	1
Cg001G002550	1	0	1	1
Cg001G002560	1	1	1	1
Cg001G002580	1	1	1	1
Cg001G002590	1	0	0	0
Cg001G002600	1	1	1	1
Cg001G002610	0	1	1	1
Cg001G002620	1	1	0	0
Cg001G002630	1	1	1	1
Cg001G002640	1	1	1	1
Cg001G002650	0	1	1	1
Cg001G002660	1	1	1	1
Cg001G002670	1	1	1	1
Cg001G002680	1	1	1	1
Cg001G002690	1	1	1	1
Cg001G002700	0	1	1	1
Cg001G002710	1	1	1	1
Cg001G002720	1	1	1	1
Cg001G002730	1	1	1	1
Cg001G002740	1	1	1	1
Cg001G002750	0	1	1	1
Cg001G002760	1	1	1	1
Cg001G002780	1	1	1	1
Cg001G002790	0	1	1	1
Cg001G002800	1	1	1	1
Cg001G002810	1	1	1	1
Cg001G002820	1	1	1	0
Cg001G002830	1	1	1	1
Cg001G002840	0	0	1	0
Cg001G002850	1	1	1	1
Cg001G002860	1	1	1	0
Cg001G002870	1	1	1	1
Cg001G002880	0	0	0	0
Cg001G002890	1	1	1	0
Cg001G002900	1	1	1	1
Cg001G002910	1	1	1	1
Cg001G002920	1	1	1	1
Cg001G002930	1	1	1	1
Cg001G002940	1	1	1	1
Cg001G002950	1	1	1	1
Cg001G002960	1	1	1	1
Cg001G002970	1	1	1	1
Cg001G002980	1	1	1	1
Cg001G002990	1	1	1	1
Cg001G003000	1	1	1	1
Cg001G003010	1	1	1	1
Cg001G003020	1	1	1	1
Cg001G003030	1	1	1	1
Cg001G003040	1	1	1	1
Cg001G003060	1	1	1	1
Cg001G003070	1	1	1	1
Cg001G003080	1	1	1	1
Cg001G003090	1	1	1	1
Cg001G003100	1	1	1	1
Cg001G003110	1	1	1	1
Cg001G003120	1	0	1	0
Cg001G003130	1	1	1	1
Cg001G003140	1	1	1	1
Cg001G003150	0	1	1	1
Cg001G003160	1	1	1	1
Cg001G003180	1	1	1	1
Cg001G003190	1	1	1	1
Cg001G003200	0	1	1	1
Cg001G003210	1	0	0	0
Cg001G003220	1	1	1	1
Cg001G003230	1	1	1	1
Cg001G003240	1	1	1	1
Cg001G003250	1	1	1	1
Cg001G003260	1	1	1	1
Cg001G003270	1	1	1	1
Cg001G003290	1	1	1	1
Cg001G003300	1	1	1	1
Cg001G003310	1	1	1	1
Cg001G003320	1	1	1	1
Cg001G003330	1	0	0	0
Cg001G003340	1	1	1	1
Cg001G003350	1	1	1	1
Cg001G003360	1	1	1	1
Cg001G003370	1	1	1	1
Cg001G003380	1	1	1	1
Cg001G003390	1	1	0	1
Cg001G003400	0	1	1	1
Cg001G003410	1	1	1	1
Cg001G003420	1	1	1	1
Cg001G003430	1	1	1	1
Cg001G003440	1	1	1	1
Cg001G003450	1	1	1	1
Cg001G003460	0	1	1	1
Cg001G003470	1	1	1	0
Cg001G003480	1	1	1	1
Cg001G003490	0	1	1	1
Cg001G003500	1	0	1	1
Cg001G003510	1	0	1	1
Cg001G003520	1	1	1	1
Cg001G003530	1	1	1	1
Cg001G003550	1	1	1	1
Cg001G003560	1	1	1	1
Cg001G003570	0	1	1	1
Cg001G003580	1	1	1	1
Cg001G003600	0	1	1	0
Cg001G003610	1	1	1	1
Cg001G003620	1	1	0	1
Cg001G003630	1	1	1	1
Cg001G003640	1	1	1	1
Cg001G003650	1	1	1	1
Cg001G003660	1	1	1	1
Cg001G003670	1	1	1	1
Cg001G003680	0	1	1	1
Cg001G003690	1	1	1	1
Cg001G003700	1	1	1	0
Cg001G003710	1	1	1	0
Cg001G003720	1	1	1	1
Cg001G003730	1	1	1	1
Cg001G003740	1	1	1	1
Cg001G003750	1	1	1	1
Cg001G003760	1	1	1	1
Cg001G003770	1	1	1	1
Cg001G003780	1	1	1	1
Cg001G003790	1	1	1	1
Cg001G003800	1	1	1	1
Cg001G003810	1	1	1	0
Cg001G003820	1	1	0	0
Cg001G003830	1	1	1	1
Cg001G003840	1	1	1	1
Cg001G003860	1	1	1	1
Cg001G003870	0	0	1	1
Cg001G003880	1	1	1	1
Cg001G003890	1	1	1	1
Cg001G003900	1	1	1	1
Cg001G003910	1	1	1	1
Cg001G003920	1	1	1	1
Cg001G003930	1	1	1	1
Cg001G003940	1	1	1	1
Cg001G003950	1	1	1	1
Cg001G003960	1	1	1	1
Cg001G003970	1	1	1	1
Cg001G003980	1	1	1	1
Cg001G003990	1	1	1	0
Cg001G004000	1	1	1	0
Cg001G004010	1	0	1	1
Cg001G004020	1	1	1	1
Cg001G004030	1	1	1	1
Cg001G004040	1	1	1	1
Cg001G004050	1	0	0	0
Cg001G004060	0	0	0	0
Cg001G004070	1	1	1	1
Cg001G004080	1	1	1	1
Cg001G004090	1	1	1	1
Cg001G004100	1	1	1	1
Cg001G004130	1	1	1	1
Cg001G004140	1	1	1	1
Cg001G004150	1	1	1	1
Cg001G004160	1	1	1	1
Cg001G004170	1	1	1	1
Cg001G004180	1	1	1	1
Cg001G004200	1	1	1	1
Cg001G004210	1	1	1	1
Cg001G004220	0	1	0	0
Cg001G004230	1	1	1	1
Cg001G004240	0	1	1	1
Cg001G004250	0	0	0	0
Cg001G004260	1	1	1	1
Cg001G004270	1	0	0	0
Cg001G004280	0	0	0	0
Cg001G004290	1	1	1	1
Cg001G004300	1	0	0	0
Cg001G004310	1	1	1	1
Cg001G004320	1	1	1	1
Cg001G004330	1	1	1	1
Cg001G004350	0	1	1	1
Cg001G004360	1	1	1	1
Cg001G004370	1	1	1	1
Cg001G004380	1	0	0	0
Cg001G004390	1	1	1	1
Cg001G004410	1	1	1	1
Cg001G004420	1	1	1	1
Cg001G004430	1	0	0	1
Cg001G004450	0	1	1	1
Cg001G004470	1	1	1	0
Cg001G004480	0	1	0	0
Cg001G004490	1	1	1	1
Cg001G004500	0	1	1	1
Cg001G004510	1	1	1	0
Cg001G004520	1	0	0	0
Cg001G004530	1	0	0	0
Cg001G004550	1	1	1	1
Cg001G004560	1	1	1	0
Cg001G004570	1	1	1	1
Cg001G004580	1	1	1	1
Cg001G004590	1	1	1	1
Cg001G004600	1	1	1	1
Cg001G004610	1	1	1	1
Cg001G004630	1	1	1	1
Cg001G004640	1	1	1	1
Cg001G004650	1	1	1	1
Cg001G004660	1	1	1	1
Cg001G004680	1	1	1	1
Cg001G004690	1	1	1	1
Cg001G004710	1	1	1	1
Cg001G004720	1	1	1	1
Cg001G004740	1	1	1	1
Cg001G004750	1	1	1	1
Cg001G004760	1	1	1	1
Cg001G004770	1	1	1	0
Cg001G004780	1	1	1	1
Cg001G004790	1	0	0	0
Cg001G004820	1	1	1	1
Cg001G004830	1	1	1	1
Cg001G004840	1	1	1	1
Cg001G004850	0	1	1	0
Cg001G004860	1	1	1	1
Cg001G004870	1	1	1	1
Cg001G004880	1	1	1	1
Cg001G004890	1	1	1	1
Cg001G004900	1	1	1	1
Cg001G004910	0	1	0	0
Cg001G004920	1	1	1	1
Cg001G004930	1	1	1	1
Cg001G004940	1	1	1	1
Cg001G004950	1	1	1	1
Cg001G004960	1	1	1	0
Cg001G004970	1	1	1	1
Cg001G004980	1	1	1	1
Cg001G004990	1	1	1	1
Cg001G005000	0	0	0	1
Cg001G005010	1	1	1	1
Cg001G005020	1	1	1	1
Cg001G005030	1	1	1	1
Cg001G005040	0	1	1	1
Cg001G005050	0	0	0	0
Cg001G005060	1	1	1	1
Cg001G005070	1	1	1	1
Cg001G005080	1	1	1	1
Cg001G005110	1	1	0	0
Cg001G005120	0	0	0	0
Cg001G005130	0	0	0	0
Cg001G005140	1	1	1	1
Cg001G005150	1	1	1	1
Cg001G005160	1	0	0	0
Cg001G005170	1	1	1	1
Cg001G005180	1	1	1	1
Cg001G005190	1	1	1	1
Cg001G005200	1	1	1	0
Cg001G005210	1	1	1	1
Cg001G005220	1	1	1	1
Cg001G005230	1	1	1	1
Cg001G005240	1	1	1	1
Cg001G005250	1	1	1	1
Cg001G005260	1	1	1	1
Cg001G005270	1	1	1	1
Cg001G005280	1	0	0	0
Cg001G005290	1	1	1	1
Cg001G005300	1	0	0	1
Cg001G005310	1	1	1	1
Cg001G005320	1	0	0	0
Cg001G005330	1	1	1	1
Cg001G005340	0	1	1	0
Cg001G005350	1	1	1	1
Cg001G005360	1	1	1	1
Cg001G005370	1	1	1	1
Cg001G005380	0	1	1	1
Cg001G005390	1	1	1	1
Cg001G005400	1	1	1	1
Cg001G005410	1	1	1	1
Cg001G005420	1	1	1	1
Cg001G005430	1	1	0	1
Cg001G005440	1	1	1	1
Cg001G005450	0	1	1	1
Cg001G005460	1	1	1	1
Cg001G005470	1	1	1	0
Cg001G005480	1	1	1	1
Cg001G005490	0	1	1	1
Cg001G005500	1	1	1	1
Cg001G005510	1	1	1	1
Cg001G005530	1	1	1	1
Cg001G005540	1	1	1	1
Cg001G005550	1	1	1	1
Cg001G005560	1	0	0	1
Cg001G005570	1	1	1	1
Cg001G005580	1	1	1	1
Cg001G005590	1	1	1	0
Cg001G005600	1	1	1	1
Cg001G005610	0	1	1	1
Cg001G005620	1	1	1	1
Cg001G005630	1	1	1	1
Cg001G005640	1	1	1	1
Cg001G005650	1	0	0	0
Cg001G005660	1	1	1	1
Cg001G005670	1	1	1	1
Cg001G005690	1	1	1	1
Cg001G005700	1	0	0	0
Cg001G005710	1	1	1	1
Cg001G005720	0	1	1	1
Cg001G005730	1	1	1	1
Cg001G005740	1	1	1	1
Cg001G005750	1	1	1	1
Cg001G005760	1	1	1	1
Cg001G005770	1	0	0	0
Cg001G005780	1	1	1	1
Cg001G005790	1	1	1	1
Cg001G005800	1	1	1	0
Cg001G005810	1	1	1	1
Cg001G005820	1	1	1	1
Cg001G005830	0	1	1	1
Cg001G005840	1	1	1	1
Cg001G005850	1	1	1	1
Cg001G005860	1	1	1	1
Cg001G005870	1	1	1	1
Cg001G005880	1	1	1	1
Cg001G005890	1	1	1	1
Cg001G005900	1	1	1	1
Cg001G005910	1	1	1	1
Cg001G005920	1	0	0	0
Cg001G005930	1	1	1	1
Cg001G005940	1	1	1	1
Cg001G005950	1	1	1	1
Cg001G005960	1	1	1	1
Cg001G005970	1	1	1	1
Cg001G005980	1	1	1	1
Cg001G005990	1	1	1	1
Cg001G006000	1	1	1	0
Cg001G006010	1	1	1	1
Cg001G006020	1	1	1	1
Cg001G006030	1	1	1	1
Cg001G006040	1	1	1	1
Cg001G006050	1	1	1	1
Cg001G006060	1	1	1	1
Cg001G006070	1	1	1	1
Cg001G006080	1	1	1	1
Cg001G006090	1	0	0	0
Cg001G006100	1	1	1	1
Cg001G006110	1	1	1	1
Cg001G006130	1	1	1	1
Cg001G006140	1	1	1	1
Cg001G006150	1	1	1	1
Cg001G006160	1	1	1	1
Cg001G006170	1	0	0	1
Cg001G006180	1	1	1	1
Cg001G006190	1	1	1	1
Cg001G006200	1	1	1	1
Cg001G006210	1	1	1	1
Cg001G006220	1	1	1	1
Cg001G006230	1	1	1	1
Cg001G006240	0	1	1	0
Cg001G006250	1	1	1	1
Cg001G006260	1	1	1	0
Cg001G006270	1	1	1	1
Cg001G006280	1	1	1	1
Cg001G006290	1	1	1	1
Cg001G006300	1	1	1	1
Cg001G006310	1	1	1	1
Cg001G006320	1	1	1	1
Cg001G006330	1	1	1	1
Cg001G006340	1	0	1	1
Cg001G006350	1	1	1	1
Cg001G006360	1	1	1	1
Cg001G006370	1	1	1	1
Cg001G006380	1	1	1	1
Cg001G006390	1	1	1	1
Cg001G006400	1	1	1	1
Cg001G006410	1	1	1	1
Cg001G006420	1	1	1	1
Cg001G006430	1	1	1	1
Cg001G006440	1	0	0	0
