Gene	Assembled_transcripts	A.lyrata.pep	A.thaliana.pep	B.rapa.pep
As001G000020	1	1	1	1
As001G000030	1	1	1	1
As001G000050	1	0	0	0
As001G000060	1	0	0	0
As001G000070	1	1	1	1
As001G000080	0	0	0	0
As001G000090	1	1	1	1
As001G000110	1	1	1	0
As001G000120	0	1	1	1
As001G000130	1	1	1	0
As001G000140	0	0	0	0
As001G000150	1	1	1	1
As001G000160	1	1	1	0
As001G000170	1	1	1	1
As001G000180	1	1	1	1
As001G000190	1	1	1	1
As001G000200	1	1	1	1
As001G000210	1	1	1	1
As001G000220	1	1	1	1
As001G000230	1	1	1	1
As001G000240	1	1	1	1
As001G000250	0	0	0	0
As001G000260	1	1	1	1
As001G000270	1	1	1	1
As001G000280	0	1	1	1
As001G000290	1	1	1	1
As001G000300	1	0	1	0
As001G000310	0	0	0	0
As001G000320	1	1	1	1
As001G000330	1	1	1	1
As001G000340	1	1	1	1
As001G000350	1	1	1	1
As001G000360	1	1	1	1
As001G000370	0	1	1	1
As001G000380	1	1	1	1
As001G000390	1	1	1	1
As001G000400	1	1	1	1
As001G000410	0	1	1	1
As001G000420	1	1	1	1
As001G000430	1	1	1	1
As001G000440	1	1	1	1
As001G000450	1	1	1	1
As001G000460	1	1	1	1
As001G000470	1	1	1	1
As001G000480	1	0	0	0
As001G000490	1	1	1	1
As001G000500	1	1	1	1
As001G000510	1	1	1	1
As001G000520	1	0	0	0
As001G000530	1	1	1	1
As001G000540	1	1	1	1
As001G000550	1	0	0	0
As001G000560	0	1	1	1
As001G000570	1	1	1	1
As001G000580	1	1	1	1
As001G000590	1	1	1	1
As001G000600	1	1	1	1
As001G000610	1	1	1	1
As001G000620	1	1	1	1
As001G000640	1	1	1	1
As001G000650	1	1	1	1
As001G000660	1	1	1	1
As001G000670	1	1	1	1
As001G000680	1	1	1	1
As001G000690	1	1	1	1
As001G000700	1	1	1	1
As001G000710	1	1	1	1
As001G000720	1	1	1	1
As001G000730	1	0	1	1
As001G000740	1	1	1	1
As001G000750	1	1	1	1
As001G000760	1	1	1	1
As001G000770	0	1	1	1
As001G000780	0	0	0	0
As001G000790	0	1	1	1
As001G000800	1	1	1	1
